 ,Mean(before_f1_bg)
531,60.489
532,58.387
533,61.362
534,63.633
535,59.706
536,58.653
537,58.289
538,59.858
539,63.147
540,58.105
541,59.574
542,57.302
543,56.472
544,54.910
545,54.876
546,59.363
547,59.116
548,59.660
549,59.020
550,58.201
551,61.272
552,63.493
553,60.885
554,60.365
555,59.619
556,59.988
557,63.577
558,62.045
559,58.013
560,63.830
561,59.327
562,59.133
563,61.289
564,63.692
565,57.743
566,57.327
567,55.729
568,66.884
569,56.501
570,64.026
571,60.983
572,62.925
573,56.700
574,63.151
575,57.931
576,59.462
577,56.834
578,59.194
579,60.118
580,55.338
581,64.076
582,59.941
583,63.292
584,58.123
585,57.973
586,57.871
587,57.670
588,59.239
589,63.076
590,59.744
591,59.887
592,55.377
593,63.730
594,59.118
595,58.595
596,54.547
597,62.490
598,63.439
599,63.292
600,59.276
601,56.520
602,60.157
603,61.295
604,67.050
605,62.292
606,57.415
607,59.830
608,61.587
609,66.807
610,62.663
611,62.887
612,63.325
613,61.641
614,60.855
615,65.458
616,69.381
617,62.859
618,57.819
619,58.535
620,61.468
621,62.113
622,58.860
623,59.529
624,59.621
625,54.498
626,57.180
627,55.613
628,55.075
629,62.584
630,57.013
631,58.357
632,54.525
633,60.315
634,58.517
635,64.796
636,61.804
637,60.183
638,61.946
639,64.336
640,58.249
641,60.708
642,56.662
643,60.657
644,57.137
645,58.518
646,56.772
647,58.339
648,55.710
649,58.648
650,56.435
651,57.208
652,58.721
653,58.574
654,62.977
655,64.552
656,59.540
657,56.482
658,58.489
659,58.595
660,60.170
661,62.259
662,55.383
663,62.307
664,59.150
665,60.455
666,56.938
667,58.570
668,61.109
669,56.900
670,57.362
671,59.651
672,62.783
673,62.485
674,61.022
675,59.837
676,57.781
677,63.800
678,57.268
679,61.047
680,64.706
681,63.561
682,61.030
683,63.161
684,59.830
685,58.818
686,64.894
687,62.700
688,59.519
689,60.421
690,59.865
691,61.375
692,61.212
693,55.066
694,56.402
695,58.387
696,62.335
697,62.445
698,60.330
699,62.265
700,60.652
701,60.682
702,58.817
703,63.545
704,60.104
705,55.254
706,60.449
707,62.504
708,55.894
709,60.321
710,60.969
711,57.975
712,62.470
713,62.062
714,62.695
715,57.658
716,62.646
717,63.041
718,60.807
719,59.016
720,59.940
721,59.562
722,59.017
723,61.401
724,57.606
725,62.016
726,63.444
727,60.039
728,61.443
729,58.519
730,59.811
731,65.859
732,57.541
733,57.874
734,59.540
735,58.008
736,55.390
737,56.396
738,61.516
739,56.546
740,58.652
741,60.421
742,57.143
743,59.461
744,64.045
745,55.372
746,61.232
747,61.319
748,59.257
749,61.450
750,58.276
751,61.527
752,60.782
753,59.897
754,59.874
755,58.915
756,58.047
757,54.679
758,63.577
759,59.434
760,61.958
761,61.449
762,60.828
763,55.688
764,55.279
765,58.763
766,59.804
767,55.392
768,61.621
769,62.154
770,60.316
771,56.663
772,60.318
773,60.475
774,60.696
775,60.104
776,56.765
777,58.092
778,63.369
779,61.594
780,62.743
781,60.383
782,63.633
783,62.029
784,60.325
785,63.107
786,57.824
787,62.033
788,61.542
789,60.792
790,59.398
791,56.729
792,63.949
793,63.523
794,57.820
795,59.023
796,56.938
797,61.304
798,62.038
799,58.035
800,59.173
801,60.923
802,58.971
803,56.970
804,61.283
805,58.456
806,59.628
807,57.434
808,67.287
809,61.085
810,61.910
811,55.090
812,63.067
813,56.914
814,63.558
815,59.131
816,60.576
817,57.887
818,58.848
819,57.294
820,60.663
821,60.270
822,61.921
823,60.439
824,60.665
825,60.984
826,63.988
827,55.725
828,54.844
829,59.018
830,62.081
831,56.210
832,55.719
833,57.991
834,59.065
835,59.635
836,61.469
837,54.353
838,59.955
839,58.249
840,61.412
841,58.670
842,59.956
843,57.182
844,60.092
845,59.965
846,61.073
847,57.942
848,56.975
849,57.492
850,56.610
851,59.888
852,56.846
853,58.917
854,58.603
855,58.358
856,55.919
857,58.381
858,56.762
859,59.981
860,58.810
861,60.266
862,55.695
863,55.195
864,58.286
865,60.796
866,55.748
867,61.775
868,58.465
869,61.888
870,58.172
871,58.500
872,57.162
873,61.184
874,60.694
875,58.885
876,59.780
877,63.836
878,62.484
879,58.905
880,55.951
881,58.439
882,59.604
883,58.917
884,58.571
885,57.837
886,54.056
887,60.290
888,56.817
889,57.603
890,61.282
891,61.592
892,56.690
893,60.805
894,59.301
895,60.548
896,59.433
897,60.621
898,61.499
899,56.002
900,54.039
901,58.615
902,60.920
903,58.068
904,61.788
905,61.085
906,62.522
907,56.405
908,58.080
909,61.463
910,54.188
911,54.055
912,55.155
913,59.234
914,55.488
915,60.614
916,54.720
917,59.276
918,65.109
919,57.959
920,60.459
921,60.908
922,58.867
923,58.347
924,64.330
925,55.681
926,58.751
927,57.163
928,59.434
929,56.960
930,53.671
931,62.068
932,61.282
933,56.023
934,59.821
935,59.311
936,64.203
937,61.355
938,61.112
939,65.452
940,69.019
941,62.237
942,70.301
943,59.263
944,63.015
945,65.905
946,61.047
947,62.867
948,59.275
949,61.179
950,56.431
951,57.573
952,58.640
953,60.154
954,63.520
955,55.343
956,56.348
957,59.843
958,60.653
959,60.158
960,60.935
961,58.580
962,60.720
963,62.092
964,60.194
965,58.826
966,58.125
967,55.932
968,57.364
969,58.897
970,55.460
971,55.414
972,58.756
973,61.520
974,61.421
975,57.694
976,58.092
977,57.048
978,56.567
979,55.583
980,57.295
981,60.953
982,62.054
983,58.112
984,57.677
985,54.501
986,58.993
987,60.337
988,58.771
989,63.429
990,56.557
991,62.095
992,57.383
993,60.334
994,62.825
995,56.059
996,57.528
997,58.155
998,57.948
999,62.324
1000,62.156
1001,59.829
1002,64.334
1003,57.560
1004,57.911
1005,55.530
1006,60.950
1007,60.161
1008,62.167
1009,61.092
1010,64.291
1011,62.722
1012,61.645
1013,55.392
1014,59.550
1015,56.167
1016,64.586
1017,60.568
1018,63.021
1019,60.871
1020,62.393
1021,60.327
1022,58.385
1023,62.605
1024,57.854
1025,61.430
1026,58.652
1027,59.420
1028,58.965
1029,59.470
1030,56.915
1031,61.384
1032,60.464
1033,61.584
1034,59.357
1035,57.790
1036,56.656
1037,59.629
