 ,Mean
1,253.647
2,91.781
3,161.808
4,91.028
5,293.100
6,119.750
7,93.056
8,68.808
9,345.385
10,163.038
11,432.812
12,304.667
13,99.114
14,169.290
15,96.490
16,83.450
17,78.795
18,67.333
19,111.594
20,79.838
21,140.250
22,86.045
23,118.735
24,199.000
25,231.690
26,105.375
27,111.068
28,86.406
29,528.250
30,446.269
31,262.962
32,279.941
33,102.214
34,90.714
35,246.444
36,225.062
37,90.000
38,215.968
39,121.514
40,76.192
41,113.719
42,77.281
43,85.865
44,90.409
45,69.871
46,155.654
47,124.429
48,115.250
49,278.881
50,134.750
51,156.016
52,140.719
53,84.882
54,169.719
55,156.038
56,132.548
57,99.077
58,158.222
59,104.385
60,151.469
61,138.250
62,280.676
63,94.450
64,163.938
65,172.226
66,139.050
67,132.688
68,75.295
69,124.618
70,101.875
71,90.919
72,150.088
73,72.800
74,70.333
75,84.839
76,70.250
77,66.667
78,138.676
79,96.206
80,126.676
81,96.161
82,80.688
83,126.594
84,141.900
85,82.375
86,83.065
87,77.774
88,75.833
89,86.385
90,76.389
91,85.235
92,75.636
93,97.250
94,72.333
95,74.500
96,73.875
97,69.769
98,92.778
99,87.216
100,98.765
