 ,Mean
1,110.208
2,113.150
3,103.385
4,101.938
5,105.375
6,172.694
7,97.235
8,115.667
9,119.812
10,112.471
11,97.538
12,124.161
13,115.250
14,115.324
15,137.742
16,127.941
17,122.654
18,108.889
19,102.438
20,109.705
21,111.469
22,117.188
23,215.378
24,124.000
25,125.058
26,109.258
27,85.559
28,90.703
29,92.863
30,173.417
31,109.511
32,94.406
33,107.159
34,127.292
35,102.841
36,95.111
37,139.500
38,99.176
39,122.906
40,118.042
41,149.500
42,154.417
43,98.286
44,101.031
45,103.412
46,118.500
47,89.541
48,103.941
49,157.559
50,86.219
