 ,Mean
1,166.853
2,149.811
3,132.135
4,115.091
5,109.077
6,140.745
7,110.207
8,148.528
9,232.324
10,149.944
11,111.500
12,126.556
13,110.389
14,138.375
15,129.176
16,139.269
17,148.429
18,109.778
19,188.841
20,137.071
21,95.562
22,98.059
23,132.977
24,112.618
25,148.875
26,103.097
27,113.614
28,96.708
29,115.136
30,161.659
31,93.797
32,182.405
33,127.981
34,123.283
35,100.938
36,137.824
37,121.450
38,161.765
39,164.887
40,160.333
41,122.607
42,155.833
43,90.757
44,111.929
45,116.500
46,103.094
47,157.944
48,180.000
49,117.583
50,160.031
