 ,Mean
1,95.300
2,145.375
3,124.541
4,123.312
5,154.095
6,214.706
7,92.226
8,108.300
9,137.000
10,185.972
11,137.500
12,875.378
13,154.281
14,297.048
15,131.615
16,93.611
17,352.091
18,144.469
19,498.438
20,274.188
21,310.625
22,135.731
23,192.118
24,138.000
25,176.324
26,257.500
27,636.100
28,186.417
29,123.231
30,194.941
31,347.588
32,145.375
33,211.156
34,161.857
35,183.969
36,235.577
37,130.776
38,273.889
39,352.095
40,199.176
41,118.154
42,209.188
43,405.048
44,143.905
45,292.375
46,307.650
47,239.810
48,215.524
49,127.875
50,157.808
51,168.647
52,330.382
53,324.477
54,230.962
55,339.795
56,303.355
57,117.500
58,227.885
59,319.762
60,104.273
61,248.750
62,271.538
63,98.750
64,360.143
65,195.656
66,128.095
67,152.833
68,134.750
69,187.179
70,204.333
71,516.077
72,162.462
73,199.000
74,202.903
75,208.143
76,294.839
77,209.429
78,293.231
79,507.231
80,191.450
81,134.846
82,409.000
83,149.156
84,145.613
85,232.765
86,107.167
87,245.692
88,277.265
89,296.654
90,135.667
91,208.833
92,190.381
93,218.375
94,141.875
95,148.650
96,267.923
97,263.583
98,126.167
99,148.562
100,143.905
