 ,Mean
1,222.111
2,339.353
3,486.000
4,516.588
5,283.147
6,250.147
7,303.968
8,408.500
9,382.318
10,317.385
11,454.968
12,678.875
13,457.308
14,208.324
15,455.694
16,370.929
17,464.219
18,192.643
19,198.712
20,214.548
21,301.265
22,389.577
23,251.269
24,326.654
25,166.844
26,220.147
27,222.622
28,222.844
29,218.189
30,258.972
31,209.903
32,270.972
33,408.150
34,231.524
35,284.208
36,317.559
37,420.562
38,165.346
39,222.088
40,288.423
41,269.531
42,334.705
43,387.511
44,305.722
45,374.143
46,307.529
47,241.194
48,232.844
49,261.889
50,410.368
