 ,Mean
1,334.812
2,314.206
3,275.344
4,269.219
5,317.423
6,414.727
7,288.969
8,269.269
9,284.143
10,226.857
11,280.250
12,297.050
13,276.200
14,322.871
15,276.952
16,265.154
17,231.905
18,266.919
19,203.417
20,255.700
21,256.065
22,267.577
23,281.885
24,282.800
25,249.308
26,234.844
27,280.912
28,177.350
29,307.615
30,326.269
31,256.654
32,329.281
33,227.400
34,705.583
35,250.300
36,271.750
37,258.048
38,290.500
39,244.281
40,251.300
41,283.438
42,210.905
43,254.484
44,255.529
45,263.250
46,251.333
47,222.423
48,246.912
49,225.094
50,262.219
51,224.844
52,340.635
53,287.625
54,220.031
55,242.941
56,223.235
57,183.324
58,245.971
59,213.324
60,268.559
61,253.023
62,189.677
63,184.385
64,252.843
65,218.568
66,290.712
67,241.250
68,232.476
69,250.262
70,336.150
