 ,Mean
1,226.688
2,366.386
3,284.688
4,273.778
5,246.882
6,223.432
7,258.973
8,211.765
9,183.615
10,184.688
11,342.000
12,225.333
13,205.977
14,188.000
15,299.412
16,221.091
17,177.968
18,367.143
19,218.523
20,242.794
21,412.812
22,205.062
23,162.162
24,510.778
25,141.905
26,263.250
27,231.676
28,181.346
29,204.222
30,275.867
31,187.262
32,165.729
33,207.054
34,296.355
35,198.692
36,162.577
37,209.703
38,210.778
39,213.114
40,241.688
41,228.000
42,272.052
43,206.636
44,160.176
45,181.500
46,190.167
47,133.265
48,207.059
49,171.886
50,167.514
