 ,Mean
1,254.222
2,94.788
3,167.900
4,122.550
5,195.524
6,213.226
7,96.917
8,174.810
9,161.904
10,113.294
11,109.357
12,103.765
13,105.292
14,170.850
15,117.517
16,167.867
17,112.806
18,127.364
19,94.556
20,95.083
21,261.619
22,103.909
23,89.077
24,129.762
25,104.562
26,173.871
27,111.703
28,110.219
29,119.000
30,94.850
31,88.618
32,100.938
33,98.705
34,139.981
35,131.625
36,121.538
37,104.750
38,224.794
39,160.346
40,488.462
41,115.514
42,176.938
43,103.688
44,147.750
45,102.833
46,262.361
47,90.719
48,122.162
49,98.471
50,101.192
