 ,Mean
1,145.023
2,163.432
3,122.922
4,121.941
5,120.412
6,153.355
7,112.941
8,114.750
9,109.118
10,126.048
11,128.262
12,135.310
13,123.231
14,117.000
15,119.406
16,137.703
17,173.190
18,137.062
19,129.386
20,122.471
21,138.595
22,117.794
23,137.385
24,149.788
25,143.706
26,162.659
27,153.227
28,158.692
29,171.875
30,196.938
31,318.378
32,158.258
33,191.806
34,157.083
35,137.500
36,108.038
37,155.500
38,127.692
39,111.844
40,149.905
41,121.095
42,105.806
43,143.500
44,137.154
45,160.861
46,168.806
47,119.098
48,221.523
49,171.528
50,162.028
